url,symbol,transaction_date,shareholder_name,number_of_stock,value,price_per_share,transaction_type,shares_before,shares_before_percentage,shares_after,shares_after_percentage
https://links.sgx.com/1.0.0/corporate-announcements/FGKSG0VLF4731COD/866479__Form%201%20-%20Sam%20Goi%20dd%2010.11.25.pdf,DM0,2025-11-07,Goi Seng Hui,150200.0,57827.0,0.385,buy,452244280,82.94,452394480,82.96
https://links.sgx.com/1.0.0/corporate-announcements/UNE321TTLS6NIOW9/866471__eFORM1_ChengWK_101125_Final.pdf,W05,2025-11-10,Cheng Wai Keung,,,,buy,474839859,62.16,474899859,62.17
https://links.sgx.com/1.0.0/corporate-announcements/F73K050MQQF9YLOG/866465__20251110%20-%20Form%206%20-%20CLINTMPL%20-%20Final.pdf,CY6U,2025-11-10,CapitaLand India Trust Management Pte. Ltd,1800509.0,2107495.78,1.1705,buy,108395548,8.0,110196057,8.12
https://links.sgx.com/1.0.0/corporate-announcements/Y7PLB9096VHY6L0H/866651__eFORM1-Tan%20Kok%20Huat.pdf,NEX,2025-11-10,Tan Kok Huat,150000.0,59880.0,0.3992,buy,50616003,33.52,50766003,33.62
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,Pandanus Associates Inc,381100.0,398250.0,1.045,sell,155114100,9.02,154733000,8.99
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,Pandanus Partners L.P,381100.0,398250.0,1.045,sell,155114100,9.02,154733000,8.99
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,FIL Limited,381100.0,398250.0,1.045,sell,155114100,9.02,154733000,8.99
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,FIL Financial Services Holdings Limited,381100.0,398250.0,1.045,sell,155114100,9.02,154733000,8.99
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,FIL Financial Services Holdings 2 Limited,381100.0,398250.0,1.045,sell,155114100,9.02,154733000,8.99
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,FIL Asia Holdings Pte Limited,381100.0,398250.0,1.045,sell,155114100,9.02,154733000,8.99
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,FIL HoldingsS.a r.l,381100.0,398250.0,1.045,sell,117934500,6.86,117553400,6.84
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,FIL Investment ManagementLimited,381100.0,398250.0,1.045,sell,100002500,5.82,100002500,5.82
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,FIL Investment ManagementLimited,381100.0,398250.0,1.045,sell,110239900,6.41,109858800,6.39
https://links.sgx.com/1.0.0/corporate-announcements/EIO49ML8P65PQ50A/866638__eform3v2_FIL_final-20251110.pdf,8C8U,2025-11-06,Fidelity Funds,381100.0,398250.0,1.045,sell,117934500,6.86,117553400,6.84
https://links.sgx.com/1.0.0/corporate-announcements/CNBO7J5A1BQZJ8Y7/866595__20251107%20CapitaLand%20India%20Trust%20Aberdeen%20Group%20plc%20Form%203%20Final.pdf,CY6U,2025-11-07,Aberdeen Group plc,1200000.0,1465024.8,1.2209,buy,94201550,6.958,95401550,7.047
https://links.sgx.com/1.0.0/corporate-announcements/NFRNBKS1KYVRF16C/866588__FORM%203%20-%20UOB.pdf,H20,2025-11-10,United Overseas Bank Limited,3000000.0,2995.04,0.001,sell,758827186,5.01,755827186,4.99
https://links.sgx.com/1.0.0/corporate-announcements/EJ4624WSFQQV3RE9/866580__eFORM1_ChengWK_111125_Final.pdf,W05,2025-11-11,Cheng Wai Keung,,,,buy,474899859,62.17,474939859,62.17
